Country,region,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,South Asia ,0.3582467018,2.347160578,2.248559707,2.146195542,2.065394466,1.85747621,1.754390245,1.643258769,1.596422924,1.620212397
ALAND ISLANDS,Europe and Central Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALBANIA,Europe and Central Asia ,3.28151624,1.949881326,2.361941799,2.701921109,2.984638949,3.294395876,3.068987437,3.076008222,3.053819006,3.01068921
ALGERIA,Middle East and North Africa ,7.110142268,4.124592764,4.161417392,4.158795486,4.136823986,4.113216257,4.073347891,4.025791178,3.984377761,3.936469851
AMERICAN SAMOA,East Asia and Pacific ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDORRA,Europe and Central Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGOLA,Sub-Saharan Africa ,1.850877419,4.789022263,4.773972651,4.77908144,4.764767929,4.733754648,4.679667516,4.642268028,4.597879471,4.545187471
ANGUILLA,Europe and Central Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTIGUA AND BARBUDA,Latin America and Caribbean ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,Latin America and Caribbean ,4.791273746,3.475499456,3.61473215,3.677787518,3.806478052,3.911271465,3.792176003,2.933027411,3.569951625,3.507494813
ARMENIA,Europe and Central Asia ,0.6386060188,0.6237587826,0.6250299765,0.6254633099,0.6215702149,0.6189747463,0.9412316334,0.8984307399,0.8198493194,0.8144321569
ARUBA,Latin America and Caribbean ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRALIA,East Asia and Pacific ,3.365938488,5.006842098,4.943655194,5.089658761,5.260237766,5.451183534,5.740791625,5.383955409,4.890055043,5.537267449
AUSTRIA,Europe and Central Asia ,4.721512291,4.702297691,4.506978587,4.545390005,4.55846266,4.56394275,4.790147401,4.779913362,4.764427803,4.743868268
AUSTRIA-HUNGARY,Europe and Central Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZERBAIJAN,Europe and Central Asia ,10.07911064,10.01719316,12.29835534,13.13518289,13.43474745,13.75146881,13.77474247,13.82661635,13.82635895,13.7692288
BAHAMAS,Latin America and Caribbean ,1.144696722,0.9668376286,0.9666512986,0.9588546618,0.9516890665,0.9477131996,0.941425061,0.9369786313,0.933264021,0.9291044776
BAHRAIN,Middle East and North Africa ,2.144421333,1.661787603,1.682065081,1.684267383,1.672113428,1.658134314,1.64932782,1.649483537,1.63721914,1.631325483
BANGLADESH,South Asia ,0.2690110956,1.203253457,1.819931539,2.735754395,2.939795397,3.118115612,3.20646207,3.21838731,3.220864132,3.202317344
BARBADOS,Latin America and Caribbean ,0.2330169481,0.7987930761,0.7315856139,0.6927187562,0.7178670793,0.7424060229,0.5253288999,0.5188260873,0.5035948928,0.4926256571
BELARUS,Europe and Central Asia ,0.5325106868,0.5730502393,0.5651308101,0.5702483948,0.5489201122,0.5277054903,0.6881420205,0.6883944129,0.7407395465,0.7460504189
BELGIUM,Europe and Central Asia ,4.530151341,4.108874789,4.296407895,4.153323309,3.970051501,3.789841217,3.63471941,3.826460553,3.49017115,3.653086916
BELIZE,Latin America and Caribbean ,7.282186351,6.885830123,6.277340031,5.851190476,5.736978632,5.457228077,5.257685837,6.210383045,7.242759122,7.242338185
BENIN,Sub-Saharan Africa ,0.9875283277,1.058200927,1.054292999,1.049495286,1.043201744,1.035767904,1.027751194,1.019931574,1.010585653,0.9998997011
BERMUDA,North America ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHUTAN,South Asia ,0.1231784041,0.1125322839,0.1439787833,0.1845319021,0.235503638,0.3010801249,0.8748703427,0.7244567888,0.5919857741,0.6099189854
BOLIVIA,Latin America and Caribbean ,2.057048054,8.03487603,4.516999955,4.609087421,4.769252344,4.934544668,4.274495438,3.509482746,3.246891911,3.184199552
BONAIRE,Europe and Central Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSNIA AND HERZEGOVINA,Europe and Central Asia ,2.173770215,4.579293987,4.011523938,4.333238444,4.622377036,4.915116847,5.823580318,5.861539735,5.898789117,5.902871008
BOTSWANA,Sub-Saharan Africa ,3.180790183,2.437495197,2.413636136,2.40328967,2.384169692,2.363161126,2.337929736,2.317133086,2.29337242,2.265930106
BRAZIL,Latin America and Caribbean ,4.422475638,4.02804783,4.271657179,4.248230902,4.471405007,4.713915876,4.614789448,4.566683346,4.137434646,4.323019418
BRITISH INDIAN OCEAN TERRITORY,South Asia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRITISH VIRGIN ISLANDS,Latin America and Caribbean ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNEI,East Asia and Pacific ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,Europe and Central Asia ,2.363709158,3.80822361,3.572998793,3.555366962,3.637796838,3.716862573,3.547800997,3.588710085,3.683664033,3.831128847
BURKINA FASO,Sub-Saharan Africa ,0.7278609651,0.650955551,0.8842374183,1.199702428,1.624400003,2.194140048,2.30215089,2.38092644,2.404764133,2.391978471
