Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total per country
ALBANIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,1330.0,1775.0,2243.0,2536.0,3227.0,3077.0,3468.0,3946.0,4577.0,4936.0,5927.0,6406.0,2658.0,5689.0,7544.0,60466.0
AMERICAN SAMOA,34.0,35.0,26.0,36.0,41.0,44.0,36.0,0.0,0.0,0.0,24.5,25.3,24.1,24.3,23.5,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.599999999999994,0.9,0.0,0.0,845.4
ANDORRA,0.0,0.0,0.0,0.0,9422.0,10991.0,11351.0,11507.0,11601.0,11668.0,11049.0,10737.0,10743.0,10193.0,9112.0,8551.0,7983.0,7901.0,7676.0,7796.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8426.0,217926.0
ANGOLA,9.0,21.0,45.0,52.0,45.0,51.0,67.0,91.0,107.0,194.0,210.0,121.0,195.0,294.0,366.0,425.0,481.0,528.0,650.0,595.0,592.0,397.0,261.0,218.0,218.0,64.0,64.0,130.0,6491.0
ANGUILLA,107.0,86.0,114.0,114.0,107.0,112.0,105.0,111.0,109.0,121.0,143.0,167.0,164.0,128.0,112.0,118.0,124.0,129.0,151.0,177.0,186.0,176.0,150.0,88.0,166.0,41.0,28.3,95.7,3430.0
ANTIGUA AND BARBUDA,447.0,498.0,526.0,570.0,560.0,634.0,624.0,528.0,623.0,769.0,712.0,838.0,935.0,863.0,944.0,788.0,848.0,819.0,777.0,771.0,894.0,874.0,1040.0,1064.0,1035.0,276.0,250.0,642.0,20149.0
ARGENTINA,2289.0,2614.0,2764.0,3012.0,2898.0,2909.0,2620.0,2820.0,2995.0,3457.0,3823.0,4173.0,4562.0,4700.0,4308.0,6800.0,6703.0,6497.0,6510.0,7165.0,6816.0,9986.0,9964.0,10394.0,11131.0,3097.0,460.0,7503.0,142970.0
ARMENIA,12.0,13.0,23.0,32.0,41.0,45.0,123.0,162.0,206.0,263.0,319.0,382.0,511.0,558.0,575.0,684.0,758.0,963.0,1084.0,1204.0,1192.0,1260.0,1495.0,1652.0,1894.0,375.0,870.0,1666.0,18362.0
ARUBA,912.0,957.0,947.0,906.0,972.0,1211.0,1178.0,1225.0,1184.0,1304.0,1286.0,1285.0,1254.0,1383.0,1420.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1863.0,1897.0,1951.0,623.0,943.0,1711.0,37752.0
AUSTRALIA,0.0,0.0,0.0,4167.0,4143.0,4567.0,4476.0,4463.0,4384.0,4797.0,5046.0,5099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41142.0
